id_station,n_station,ad_station,code_insee,xlongitude,ylatitude,puiss_max,accessibilite,type_prise,n_enseigne,date_maj
FR*S85*P85222*001,SAINT GILLES CROIX DE VIE - Place de la Cour Rouge,Place de la Cour Rouge 85800 SAINT GILLES CROIX DE VIE,85222,-1.92586,46.697781,18.0,24h/24 7j/7,EF - T2,SYDEV,2021-01-13
FR*S85*P85300*001,VENANSAULT - Parking Maison De La Culture,Parking Maison De La Culture 85190 VENANSAULT,85300,-1.51163,46.684349,18.0,24h/24 7j/7,EF - T2,SYDEV,2021-01-13
FR*S85*P85234*001,SAINT JEAN DE MONT - Place Koh Chang,Place Koh Chang 85160 SAINT JEAN DE MONT,85234,-2.06061,46.79002,18.0,24h/24 7j/7,EF - T2,SYDEV,2021-01-13
FR*S85*P85012*002,LA BARRE DE MONTS - Rue De St Jean De Monts,Rue De St Jean De Monts 85550 LA BARRE DE MONTS,85012,-2.119488,46.88022,50.0,24h/24 7j/7,COMBO,SYDEV,2021-01-13
FR*S85*P85029*001,BOUIN - Place Raoul Pelote,Place Raoul Pelote 85230 BOUIN,85029,-1.99678,46.97329,18.0,24h/24 7j/7,EF - T2,SYDEV,2021-01-13
FR*S85*P85191*011,LA ROCHE SUR YON - Place De La Vendée,Place De La Vendée 85000 LA ROCHE SUR YON,85191,-1.431739,46.669009,18.0,24h/24 7j/7,T2 - EF,SYDEV,2021-01-13
FR*S05*P05054*A,LA FARE EN CHAMPSAUR_Esplanade Napol?on,Esplanade Napol?on 05500 LA FARE EN CHAMPSAUR,5054,6.070796,44.676987,50.0,24/24 7/7 jours,CHAdeMO,E Born,2020-03-24
FR*S05*P05003*A,AIGUILLES_Parking Piscine,Parking Piscine 05470 AIGUILLES,5003,6.869095,44.781915,22.0,24/24 7/7 jours,E/F + T2,E Born,2020-03-24
FR*S05*P05170*A,TALLARD_Rue du Ch?teau,Rue du Ch?teau 05130 TALLARD,5170,6.0547,44.4604,22.0,24/24 7/7 jours,E/F + T2,E Born,2020-03-24
FR*S05*P05004*A,ANCELLE_Place du Groupe Scolaire,Place du Groupe Scolaire 05260 ANCELLE,5004,6.204541,44.62348,22.0,24/24 7/7 jours,E/F + T2,E Born,2020-03-24
FR*S05*P05029*A,CHABOTTES_Parking Haute Plaine,Parking Haute Plaine 05260 CHABOTTES,5029,6.169101,44.64284,22.0,24/24 7/7 jours,E/F + T2,E Born,2020-03-24
FR*S05*P05008*A,ASPREMONT_Parking Coccimarket,Parking Coccimarket 05140 ASPREMONT,5008,5.72954,44.488113,22.0,24/24 7/7 jours,E/F + T2,E Born,2020-03-24
FR*S05*P05063*A,LA GRAVE_Salle Polyvalente,Salle Polyvalente 05320 LA GRAVE,5063,6.300738,45.044315,50.0,24/24 7/7 jours,CHAdeMO,E Born,2020-03-24
FR*S05*P05162*A,LA SAULCE_La Gandiere,La Gandiere 05110 LA SAULCE,5162,6.02653,44.442898,50.0,24/24 7/7 jours,CHAdeMO,E Born,2020-03-24
FR*S05*P05139*A,LE DEVOLUY_Super Devoluy - Parking Lilas,Super Devoluy - Parking Lilas 05250 LE DEVOLUY,5139,5.928601,44.675988,22.0,24/24 7/7 jours,E/F + T2,E Born,2020-03-24
FR*S05*P05142*B,ST FIRMIN_ZA sous la Roche,ZA sous la Roche 05800 ST FIRMIN,5142,6.019441,44.774871,50.0,24/24 7/7 jours,T2,E Born,2020-03-24
FR*S05*P05114*B,REALLON_La Station,La Station 05160 REALLON,5114,6.361567,44.575991,22.0,24/24 7/7 jours,E/F + T2,E Born,2020-03-24
FR*S05*P05126*A,ROSANS_Camping Municipal,Camping Municipal 05150 ROSANS,5126,5.471063,44.389375,22.0,24/24 7/7 jours,E/F + T2,E Born,2020-03-24
FR*S05*P05166*A,SERRES_Rue Marius Meyere,Rue Marius Meyere 05700 SERRES,5166,5.718155,44.428729,50.0,24/24 7/7 jours,CHAdeMO,E Born,2020-03-24
FR*S05*P05052*A,EYGLIERS_Parking de la Gare,Parking de la Gare 05600 EYGLIERS,5052,6.615902,44.67468,43.0,24/24 7/7 jours,T2,E Born,2020-03-24
FR*S05*P05170*C,TALLARD_Parking A?rodrome,Parking A?rodrome 05130 TALLARD,5170,6.03355,44.455415,50.0,24/24 7/7 jours,combo,E Born,2020-03-24
